titulo,precio,provincia,lugar_raw,num_dormitorios,num_banos,area,num_garages,lugar
ARRIENDO MINI DEPARTAMENTO EN PUERTO FRANCISCO DE ORELLANA,150,Orellana,"Orellana, San Sebastián del Coca, Ecuador",1.0,1.0,28.0,2.0,San Sebastián del Coca
Hermosa casa de arriendo sector Ponceano de oportunidad $580,580,Pichincha,"Pichincha, Albert Einstein, Quito, Ecuador",3.0,3.0,180.0,2.0,Quito
Hermoso departamento de arriendo sector Ponceano alto 3 dormitorios de oportunidad $380,380,Pichincha,"Pichincha, Ponceano Alto, Quito, Ecuador",3.0,3.0,110.0,1.0,Quito
Casa en arriendo Los Ceibos Ibarra,480,Imbabura,"Imbabura, Calle Río Chimbo 7-63 y Río Palora",4.0,3.0,140.0,1.0,Calle Río Chimbo 7-63 y Río Palora
Alquilo moderno departamento en Kennedy Norte Guayaquil,600,Guayas,"Guayas, Kennedy Norte, Guayaquil, Ecuador",2.0,2.0,68.0,1.0,Guayaquil
Se Renta Excelente Local Comercial Por Estrenar Sector San Gabriel,520,Pichincha,"Pichincha, Hernandez de Giron, Quito, Ecuador",3.0,1.0,57.0,1.0,Quito
Arriendo Departamento Cerca Universidad Central,300,Pichincha,"Pichincha, Humberto Albornoz, Quito, Ecuador",3.0,1.0,90.0,1.0,Quito
EN RENTA OFICINA – CONSULTORIO MÉDICO – LA PRADERA,265,Pichincha,"Pichincha, Alemania & Av. Eloy Alfaro, Quito, Ecuador",3.0,1.0,34.0,1.0,Quito
EN RENTA DEPARTAMENTO AMOBLADO,350,Pichincha,"Pichincha, Antiguo Aeropuerto, Quito, Ecuador",2.0,1.0,50.0,1.0,Quito
DEPARTAMENTO EN SAIBA,500,Guayas,"Guayas, Ciudadela Saiba, Guayaquil, Ecuador",3.0,3.0,120.0,1.0,Guayaquil
RENTA DEPARTAMENTO DE 2 DORMITORIOS URB. PUERTO AZUL VIA LA COSTA GUAYAQUIL ECUADOR,600,Guayas,"Guayas, Urbanización Puerto Azul, Guayaquil, Ecuador",2.0,4.0,68.0,1.0,Guayaquil
Hermosa suite de arriendo con Línea blanca de oportunidad sector el bosque $480 incluido Alicuota,480,Pichincha,"Pichincha, El Bosque, Quito, Ecuador",1.0,2.0,70.0,1.0,Quito
Hermoso departamento de arriendo de oportunidad sector Hospital Metropolitano 3 dormitorios precio $450,450,Pichincha,"Pichincha, Hospital Metropolitano, Avenida Mariana de Jesús, Quito, Ecuador",3.0,2.0,97.0,1.0,Quito
Hermoso departamento de arriendo de oportunidad sector Pomasqui 2 dormitorios,280,Pichincha,"Pichincha, Pomasqui, Quito, Ecuador",2.0,1.0,80.0,1.0,Quito
SE RENTA LOCAL Y OFICINA EN BELLAVISTA DE CALDERON,690,Pichincha,"Pichincha, Bellavista, Calderon, Quito, Ecuador",3.0,2.0,140.0,1.0,Quito
LOCAL GRANDE E IDEAL PARA FRANQUICIA o RESTAURANTE,3500,Pichincha,"Pichincha, Juan León Mera, Quito, Ecuador",3.0,3.0,410.0,1.0,Quito
DEPARTAMENTO EN SAIBA,500,Guayas,"Guayas, Ciudadela Saiba, Guayaquil, Ecuador",3.0,2.0,150.0,1.0,Guayaquil
SE ARRIENDA GALPON 390 M2 EN PONCEANO,1650,Pichincha,"Pichincha, Ponceano, Ecuador",3.0,1.0,390.0,2.0,Ponceano
SE RENTA SUITE 95m2 SECTOR BELLAVISTA,580,Pichincha,"Pichincha, Bellavista, Quito, Ecuador",1.0,2.0,95.0,1.0,Quito
OFICINA EN RENTA A POCOS METROS DEL SAN LUIS,350,Pichincha,"Pichincha, Av San Luis, Quito, Ecuador",1.0,1.0,50.0,1.0,Quito
Departamento 3 dormitorios en Arriendo,350,Pichincha,"Pichincha, Núñez de Bonilla 286-340, Quito, Ecuador",3.0,2.0,140.0,1.0,Quito
DEPARTAMENTO EN ARRIENDO SAIBA,500,Guayas,"Guayas, Ciudadela Saiba, Guayaquil, Ecuador",3.0,2.0,120.0,1.0,Guayaquil
ARRIENDO O VENDO 1600 m2 GALPON COMERCIAL,3500,Pichincha,"Pichincha, Bellavista Y Las Lagunas, Quito, Ecuador",3.0,6.0,1600.0,22.0,Quito
"2 DORMITORIOS, PLANTA BAJA",200,Pichincha,"Pichincha, Chontamarca, Ecuador",2.0,1.0,100.0,1.0,Chontamarca
Departamento amoblado de Renta en la Coruña,1100,Pichincha,"Pichincha, Avenida La Coruña & Valladolid, Quito, Ecuador",3.0,2.0,100.0,1.0,Quito
Oficina en renta Sector la Carolina,700,Pichincha,"Pichincha, Avenida Republica del Salvador, Quito, Ecuador",1.0,1.0,58.0,1.0,Quito
OFICINA EN RENTA SECTOR LA COLÓN,220,Pichincha,"Pichincha, Av. 10 de Agosto & Javier Ascazubi, Quito, Ecuador",1.0,1.0,60.0,1.0,Quito
OFICINA IDEAL REACTIVATE- LA COLÓN,300,Pichincha,"Pichincha, Av. 10 de Agosto & Javier Ascazubi, Quito, Ecuador",1.0,1.0,80.0,1.0,Quito
BONITO LOCAL COMERCIAL DE ALQUILER CAPELO,120,Pichincha,"Pichincha, Capelo, Quito, Ecuador",3.0,1.0,30.0,2.0,Quito
Departamento 2D Renta sector La Kennedy,220,Pichincha,"Pichincha, La Kennedy, Quito, Ecuador",2.0,1.0,45.0,1.0,Quito
HERMOSO LOFT DE ARRIENDO EN LA LEONIDAS PLAZA,500,Pichincha,"Pichincha, Leonidas Plaza Gutierrez, Quito, Ecuador",1.0,1.0,17.0,1.0,Quito
EN RENTA LOCAL COMERCIAL SECTOR SAN RAFAEL,250,Pichincha,"Pichincha, San Rafael, Ecuador",3.0,2.0,45.0,3.0,San Rafael
DE ALQUILER BODEGA EN EL COLIBRÍ,1000,Pichincha,"Pichincha, Sangolqui, Sangolquí, Ecuador",3.0,2.0,200.0,1.0,Sangolquí
Hostel en Renta Sector el Chaupi,700,Pichincha,"Pichincha, El Chaupi, El chaupi, Ecuador",8.0,5.0,783.0,15.0,El chaupi
Departamento con Terraza Privada. Sector Mall del Sur .,300,Guayas,"Guayas, Ciudadela Moran Valverde",2.0,1.0,70.0,1.0,Ciudadela Moran Valverde
SE RENTA EDIFICIO SECTOR ESTRATEGICO EN LATACUNGA,3700,Cotopaxi,"Cotopaxi, Latacunga, Cotopaxi, Ecuador",3.0,2.0,100.0,1.0,Cotopaxi
SUITE AMOBLADA EN LA DIEGO DE ALMAGRO Y ALPALLANA,400,Pichincha,"Pichincha, Diego de Almagro & Alpallana, Quito, Ecuador",1.0,1.0,87.0,1.0,Quito
Bodega en Renta Parque industrial Sangolquí,2500,Pichincha,"Pichincha, Sangolqui, Sangolquí, Ecuador",3.0,2.0,640.0,1.0,Sangolquí
LOCAL U OFICINA EN EL EDIFICIO WORL TRADE CENTER,590,Pichincha,"Pichincha, Edificio World Trade Center, Avenue 12 de Octubre, Quito, Ecuador",3.0,2.0,75.0,1.0,Quito
DEPARTAMENTO DE ARRIENDO GONZALEZ SUAREZ,750,Pichincha,"Pichincha, Gonzalez Suarez, Quito, Ecuador",4.0,4.0,200.0,1.0,Quito
DEPARTAMENTO DE ARRIENDO EN COTOCOLLAO,300,Pichincha,"Pichincha, Cotocollao, Quito, Ecuador",3.0,2.0,120.0,1.0,Quito
SUITE DE ARRIENDO AMOBLADA,450,Pichincha,"Pichincha, Avenida Republica del Salvador, Quito, Ecuador",1.0,1.0,65.0,1.0,Quito
Arriendo departamento en el centro de Babahoyo,220,Los Rios,"Los Rios, Calle 18 de Mayo, Babahoyo, Ecuador",2.0,1.0,87.0,1.0,Babahoyo
Departamento a estrenar en el centro de Babahoyo,240,Los Rios,"Los Rios, Calle 18 de Mayo, Babahoyo, Ecuador",2.0,1.0,90.0,1.0,Babahoyo
ALQUILER DEPARTAMENTO CENTRO BABAHOYO,240,Los Rios,"Los Rios, Calle 18 de Mayo, Babahoyo, Ecuador",2.0,1.0,90.0,1.0,Babahoyo
ARRIENDO CASA EN CUMBAYA COLEGIO MENOR,2600,Pichincha,"Pichincha, Cumbayá, Quito, Ecuador",4.0,4.0,470.0,6.0,Quito
HERMOSA SUITE CON BALCÓN EN LA 12 DE OCTUBRE,550,Pichincha,"Pichincha, Av. 12 de Octubre, Quito, Ecuador",1.0,1.0,87.0,1.0,Quito
HERMOSA SUITE FULL AMOBLADA EN LA GONZALEZ SUAREZ,500,Pichincha,"Pichincha, Gonzalez Suarez, Quito, Ecuador",1.0,1.0,110.0,1.0,Quito
PISO EN RENTA PARA PEQUEÑA INDUSTRIA CHILLOGALLO,400,Pichincha,"Pichincha, Chillogallo, Quito, Ecuador",3.0,2.0,215.0,1.0,Quito
"Departamento Dúplex de 3 dormitorios en conjunto residencial Sironi, Cumbayá",950,Pichincha,"Pichincha, Av. Interoceánica 1/2, Cumbayá, Quito, Ecuador",3.0,3.0,222.0,2.0,Quito
HERMOSA SUITE FULL AMOBLADA EN LA FLORESTA,430,Pichincha,"Pichincha, La Floresta, Quito, Ecuador",1.0,1.0,15.0,1.0,Quito
"ACOJEDOR DEPARTAMENTO AMOBLADO EN ALQUILER KENNEDY AV. SAN JORGE, 4 DORMITORIOS",610,Guayas,"Guayas, Kennedy, Guayaquil, Ecuador",4.0,4.0,205.0,1.0,Guayaquil
ARRIENDO AMAZONAS CON VISTA AL PARQUE DE LA CAROLINA,500,Pichincha,"Pichincha, Av. Río Amazonas, Quito, Ecuador",3.0,3.0,140.0,1.0,Quito
